City,Country,Date,Humidity,Cloudiness,Lat,Lon,Tem,Max Temp,Wind Speed
Saint Paul Harbor,US,1603749859,50,1,57.79,-152.41,11.0,11.0,9.3
Narsaq,GL,1603749859,28,95,60.92,-46.05,6.0,6.0,6.7
Qaanaaq,GL,1603749859,74,73,77.48,-69.36,-13.59,-13.59,4.27
Tuktoyaktuk,CA,1603749859,85,40,69.45,-133.04,-12.0,-12.0,4.6
Tiksi,RU,1603749860,94,99,71.69,128.87,-14.24,-14.24,3.23
Cidreira,BR,1603749860,95,100,-30.18,-50.21,20.2,20.2,4.62
Porto-Novo,BJ,1603749766,88,40,6.5,2.6,27.0,27.0,3.6
Uvalde,US,1603749860,63,1,29.37,-99.77,17.0,17.0,7.2
La Rioja,ES,1603749861,87,0,42.25,-2.5,8.28,9.44,2.1
Walvis Bay,NA,1603749861,87,0,-22.96,14.51,13.68,14.0,3.6
Fortuna,US,1603749861,19,20,40.6,-124.16,20.39,21.67,5.7
Hong Kong,HK,1603749671,80,87,22.29,114.16,22.15,23.89,0.45
Castro,BR,1603749861,81,97,-24.79,-50.01,19.1,19.1,2.08
Lompoc,US,1603749593,37,1,34.64,-120.46,20.79,22.0,5.7
Chongwe,ZM,1603749862,39,4,-15.33,28.68,22.54,22.54,3.05
Constitución,CL,1603749862,67,60,-35.33,-72.42,13.28,13.28,6.71
Sibut,CF,1603749862,89,90,5.72,19.07,22.27,22.27,0.66
Zaozyornoye,UA,1603749863,66,100,45.16,33.28,18.94,18.94,2.36
Torbay,CA,1603749863,64,75,47.67,-52.73,1.67,2.22,3.1
Portales,US,1603749863,92,90,34.19,-103.33,-6.96,-6.67,7.2
Taoudenni,ML,1603749863,19,5,22.68,-3.98,30.37,30.37,3.84
George Town,MY,1603749863,94,20,5.41,100.34,23.94,24.0,2.52
Cherskiy,RU,1603749864,93,27,68.75,161.3,-15.91,-15.91,2.62
Forsytheganj,BY,1603749864,79,45,52.63,29.73,8.66,8.66,4.32
Pacific Grove,US,1603749864,21,1,36.62,-121.92,20.56,22.22,3.6
Dikson,RU,1603749864,95,97,73.51,80.55,-11.5,-11.5,7.11
Chokurdakh,RU,1603749864,95,100,70.63,147.92,-14.71,-14.71,4.97
Yellowknife,CA,1603749604,62,75,62.46,-114.35,-4.43,-4.0,2.6
Inírida,CO,1603749865,78,94,3.87,-67.92,27.69,27.69,0.91
Acuitzio,MX,1603749865,16,45,20.34,-101.98,29.02,29.02,1.46
Martapura,ID,1603749865,100,40,-3.42,114.85,23.0,23.0,0.5
Lebu,CL,1603749865,77,100,-37.62,-73.65,12.14,12.14,3.08
Tegul'det,RU,1603749866,98,100,57.31,88.17,1.88,1.88,1.71
Faanui,PF,1603749866,77,60,-16.48,-151.75,26.85,26.85,7.51
East London,ZA,1603749866,88,99,-33.02,27.91,19.15,19.15,9.66
San Quintín,MX,1603749866,40,17,30.48,-115.95,20.84,20.84,4.98
Ancud,CL,1603749866,71,20,-41.87,-73.82,8.11,11.67,5.1
Souillac,MU,1603749867,78,75,-20.52,57.52,22.0,22.0,4.1
Makakilo City,US,1603749867,66,1,21.35,-158.09,27.99,29.0,3.6
Santa Cruz,MA,1603749867,88,0,30.42,-9.6,17.0,17.0,2.6
Nabire,ID,1603749867,84,3,-3.37,135.48,24.96,24.96,1.47
Nuuk,GL,1603749666,68,20,64.18,-51.72,-2.11,-2.0,2.1
Reconquista,AR,1603749611,63,0,-29.15,-59.65,20.38,20.38,3.31
Nantucket,US,1603749868,82,90,41.28,-70.1,14.48,15.0,5.1
Sioux Lookout,CA,1603749868,58,90,50.1,-91.92,-3.0,-3.0,3.6
Laas,IT,1603749868,100,90,46.62,10.7,5.49,8.89,2.6
Oodweyne,SO,1603749869,21,28,9.41,45.06,21.98,21.98,3.1
Bethel,US,1603749869,93,90,41.37,-73.41,11.36,12.0,1.1
Vila Franca do Campo,PT,1603749869,82,40,37.72,-25.43,20.0,20.0,6.7
Prince Rupert,CA,1603749869,93,90,54.32,-130.32,11.0,11.0,6.2
Vilhena,BR,1603749856,52,20,-12.74,-60.15,31.0,31.0,3.1
Deputatsky,RU,1603749870,88,78,69.3,139.9,-18.03,-18.03,0.81
Zhangye,CN,1603749870,61,97,38.93,100.45,3.1,3.1,1.53
Konëvo,RU,1603749870,92,93,62.12,39.32,2.36,2.36,3.99
Bafoussam,CM,1603749870,97,30,5.47,10.42,15.88,15.88,1.38
Avera,US,1603749871,94,90,33.19,-82.53,20.33,21.0,4.1
Ostrovnoy,RU,1603749871,94,100,68.05,39.51,4.89,4.89,13.02
Feijó,BR,1603749871,52,100,-8.16,-70.35,32.3,32.3,1.97
Requena,ES,1603749871,69,2,39.49,-1.1,7.22,7.22,0.45
Tokoroa,NZ,1603749871,81,93,-38.23,175.87,18.33,18.33,2.68
Pionerskiy,RU,1603749872,93,40,54.95,20.23,10.76,11.0,3.0
Halifax,CA,1603749653,76,90,44.65,-63.57,9.72,10.0,5.1
Zhigansk,RU,1603749872,92,100,66.77,123.37,-18.34,-18.34,5.27
Tasiilaq,GL,1603749873,50,100,65.61,-37.64,1.0,1.0,9.8
Lamar,US,1603749873,93,90,33.67,-95.58,10.49,11.11,4.1
Aklavik,CA,1603749873,85,75,68.22,-135.01,-11.0,-11.0,2.6
Erzin,TR,1603749873,34,100,36.96,36.2,23.33,23.33,2.68
São Filipe,CV,1603749874,76,100,14.9,-24.5,27.2,27.2,4.35
Lorengau,PG,1603749874,80,100,-2.02,147.27,27.2,27.2,2.55
Hurghada,EG,1603749874,65,0,27.26,33.81,25.0,25.0,2.1
Alice Springs,AU,1603749713,31,0,-23.7,133.88,16.0,16.0,3.1
Goya,AR,1603749653,60,0,-29.14,-59.26,20.67,20.67,3.0
Humaitá,BR,1603749713,54,57,-7.51,-63.02,30.85,30.85,0.96
Kincardine,GB,1603749875,87,0,56.07,-3.72,8.51,9.0,4.6
Henties Bay,NA,1603749875,93,0,-22.12,14.28,13.33,13.33,3.91
Koygorodok,RU,1603749876,98,22,60.45,51.0,-5.68,-5.68,1.27
Huilong,CN,1603749876,88,76,31.81,121.66,17.55,18.33,0.45
Bogorodskoye,RU,1603749876,87,98,56.55,37.88,5.38,5.38,3.3
Anito,PH,1603749876,87,100,12.45,125.29,25.46,25.46,2.26
Bambous Virieux,MU,1603749876,78,75,-20.34,57.76,22.11,22.22,4.1
Bekwai,GH,1603749877,91,100,6.45,-1.58,23.36,23.36,1.17
Sinnamary,GF,1603749877,84,1,5.38,-52.95,26.95,26.95,4.4
Manokwari,ID,1603749770,71,0,-0.87,134.08,27.2,27.2,2.1
Port Hawkesbury,CA,1603749877,68,90,45.62,-61.35,5.75,6.11,4.6
Osorno,CL,1603749877,81,90,-40.57,-73.15,11.0,11.0,6.7
Balagansk,RU,1603749877,89,93,54.01,103.05,-2.75,-2.75,2.73
Barrow,US,1603749673,85,75,71.29,-156.79,-7.0,-7.0,2.6
Touros,BR,1603749878,78,40,-5.2,-35.46,27.0,27.0,5.1
Upernavik,GL,1603749878,81,99,72.79,-56.15,-7.94,-7.94,2.43
Kiryat Gat,IL,1603749844,100,0,31.61,34.76,20.98,22.78,1.34
Ambovombe,MG,1603749878,86,0,-25.17,46.08,20.7,20.7,1.18
Marathon,US,1603749879,50,81,44.9,-89.77,-0.83,-0.56,3.6
Djibo,BF,1603749879,13,29,14.1,-1.63,29.09,29.09,3.11
Nanortalik,GL,1603749879,91,92,60.14,-45.24,0.93,0.93,4.87
Batagay,RU,1603749879,88,100,67.63,134.63,-13.91,-13.91,0.56
Margate,GB,1603749880,66,53,51.38,1.39,9.6,10.56,2.68
Dingle,PH,1603749880,91,100,11.0,122.67,24.22,24.22,2.43
Baoqing,CN,1603749880,76,100,46.33,132.21,3.69,3.69,2.34
Najrān,SA,1603749880,27,0,17.49,44.13,17.0,17.0,1.03
Kununurra,AU,1603749880,100,75,-15.77,128.73,23.0,23.0,3.1
‘Āhuimanu,US,1603749881,70,40,21.44,-157.84,28.54,29.0,3.6
Khatanga,RU,1603749881,94,84,71.97,102.5,-16.52,-16.52,4.23
Kenitra,MA,1603749881,87,75,34.26,-6.58,14.0,14.0,2.94
Butaritari,KI,1603749881,66,96,3.07,172.79,27.59,27.59,4.04
Emilio Carranza,MX,1603749881,67,22,19.97,-96.61,27.96,27.96,3.48
Pingliang,CN,1603749881,49,100,35.54,106.69,8.78,8.78,1.81
Pevek,RU,1603749882,92,98,69.7,170.31,-4.62,-4.62,6.83
Alta Floresta,BR,1603749882,86,97,-9.88,-56.09,24.27,24.27,0.84
Şile,TR,1603749882,78,0,41.18,29.61,16.11,16.11,0.89
Quatre Cocos,MU,1603749882,78,75,-20.21,57.76,22.12,22.22,4.1
Camacha,PT,1603749883,68,40,33.08,-16.33,19.0,19.0,3.6
Hato,CO,1603749883,88,40,6.54,-73.31,23.0,23.0,3.6
Geraldton,AU,1603749883,87,75,-28.77,114.6,14.0,14.0,2.1
Antigonish,CA,1603749883,73,98,45.62,-62.0,6.67,6.67,0.89
Bilma,NE,1603749883,24,0,18.69,12.92,20.68,20.68,0.43
Murgab,TM,1603749884,46,100,37.5,61.97,12.0,12.0,1.2
Pisco,PE,1603749884,60,0,-13.7,-76.22,20.87,22.0,7.7
Bonavista,CA,1603749858,62,97,48.65,-53.11,2.22,2.22,2.24
Itarema,BR,1603749884,82,0,-2.92,-39.92,26.0,26.0,6.08
Norsup,VU,1603749884,88,75,-16.07,167.38,25.0,25.0,3.1
Lagos,NG,1603749420,92,100,6.58,3.75,25.34,25.34,1.78
Olafsvik,IS,1603749885,73,100,64.89,-23.71,4.98,4.98,6.45
Norman Wells,CA,1603749885,92,90,65.28,-126.83,-4.0,-4.0,7.7
Poum,NC,1603749885,74,0,-20.23,164.02,24.89,24.89,5.23
Wajir,KE,1603749886,59,90,1.75,40.06,27.57,27.57,8.15
Havøysund,NO,1603749886,64,0,71.0,24.66,4.0,4.0,7.7
Srednekolymsk,RU,1603749886,90,0,67.45,153.68,-14.38,-14.38,2.71
Airai,TL,1603749886,94,71,-8.93,125.41,17.01,17.01,0.94
Marzuq,YE,1603749886,30,4,14.4,46.47,16.98,16.98,0.83
Alofi,NU,1603749887,78,75,-19.06,-169.92,25.0,25.0,6.7
Moose Factory,CA,1603749887,54,90,51.26,-80.61,-1.0,-1.0,4.1
Chui,UY,1603749887,90,100,-33.7,-53.46,14.43,14.43,5.6
Contamana,PE,1603749887,43,100,-7.33,-75.02,34.49,34.49,2.24
Shiojiri,JP,1603749887,88,75,36.1,137.97,5.64,6.67,0.41
Udachny,RU,1603749888,91,90,66.42,112.4,-21.0,-21.0,1.0
Half Moon Bay,US,1603749888,7,1,37.46,-122.43,21.82,23.0,4.6
Lucapa,AO,1603749888,96,100,-8.42,20.74,20.09,20.09,1.88
Salalah,OM,1603749888,61,0,17.02,54.09,25.0,25.0,2.6
Mach,PK,1603749888,24,0,29.86,67.33,15.63,15.63,2.82
Komatipoort,ZA,1603749889,83,97,-25.43,31.95,22.78,22.78,4.93
Mahébourg,MU,1603749889,78,75,-20.41,57.7,22.0,22.0,4.1
Talara,PE,1603749889,82,68,-4.58,-81.27,19.5,19.5,5.39
Rock Sound,BS,1603749889,78,84,24.9,-76.2,27.98,27.98,3.35
Ponta do Sol,PT,1603749889,72,40,32.67,-17.1,17.12,19.0,6.2
Yar-Sale,RU,1603749889,95,63,66.83,70.83,-13.7,-13.7,3.01
Waingapu,ID,1603749890,75,61,-9.66,120.26,26.16,26.16,2.15
Saldanha,ZA,1603749890,87,12,-33.01,17.94,15.0,15.0,2.1
Mazagão,BR,1603749697,66,75,-0.12,-51.29,31.0,31.0,5.1
Roebourne,AU,1603749890,67,22,-20.78,117.13,20.06,20.06,1.85
Viedma,AR,1603749625,17,12,-40.81,-63.0,23.89,23.89,1.34
Saint-Joseph,RE,1603749891,78,29,-21.37,55.62,22.0,22.0,2.1
Saint George,US,1603749891,11,1,37.1,-113.58,9.81,10.56,13.4
Adrar,MR,1603749891,13,7,20.5,-10.07,30.85,30.85,2.29
Makkah al Mukarramah,SA,1603749891,57,0,21.43,39.83,24.59,24.59,0.55
Lukang,TW,1603749891,88,40,24.06,120.44,21.87,22.22,1.5
‘Ewa Beach,US,1603749892,66,1,21.32,-158.01,27.96,29.0,3.6
Melfi,IT,1603749892,77,5,41.0,15.65,15.0,15.0,2.1
Severo-Kuril'sk,RU,1603749892,85,95,50.68,156.12,6.27,6.27,1.33
Kabalo,CD,1603749892,91,30,-6.05,26.92,21.26,21.26,0.82
Antofagasta,CL,1603749609,72,75,-23.65,-70.4,16.0,16.0,7.2
Pincher Creek,CA,1603749604,54,1,49.48,-113.95,-0.35,0.56,13.4
Venosa,IT,1603749893,77,5,40.96,15.81,15.0,15.0,2.1
Barra de Tecoanapa,MX,1603749893,75,100,16.52,-98.75,29.69,29.69,3.92
Kirovsk,UA,1603749893,60,100,48.64,38.64,9.62,9.62,4.57
Guia Lopes da Laguna,BR,1603749893,93,81,-21.46,-56.11,23.05,23.05,0.5
Avarua,CK,1603749687,69,100,-21.21,-159.78,24.0,24.0,6.7
Tlaquepaque,MX,1603749894,20,40,20.65,-103.32,29.26,31.11,4.1
Ahipara,NZ,1603749894,72,22,-35.17,173.17,20.34,20.34,2.3
Urengoy,RU,1603749894,92,0,65.97,78.37,-16.78,-16.78,4.03
Muriti,TZ,1603749894,82,75,-1.98,32.92,20.0,20.0,2.6
Pozo Colorado,PY,1603749895,65,38,-23.49,-58.8,24.81,24.81,1.97
São Gabriel da Cachoeira,BR,1603749895,77,85,-0.13,-67.09,28.29,28.29,0.41
Barra Patuca,HN,1603749895,71,100,15.8,-84.28,26.94,26.94,2.97
Los Llanos de Aridane,ES,1603749895,64,0,28.66,-17.92,18.36,21.0,5.1
Ola,RU,1603749896,85,91,59.58,151.28,0.47,0.47,5.85
Lagoa,PT,1603749896,91,100,39.05,-27.98,20.07,20.07,10.62
Mossamedes,AO,1603749896,78,75,-15.2,12.15,20.85,20.85,0.72
Sīrjān,IR,1603749896,39,0,29.45,55.68,10.44,10.44,2.85
Westport,US,1603749651,100,90,41.14,-73.36,12.83,13.33,6.7
Sayaxché,GT,1603749896,64,100,16.52,-90.17,28.85,28.85,1.58
Nieves,PH,1603749897,94,75,15.33,120.95,24.0,24.0,2.1
Morondava,MG,1603749897,72,55,-20.28,44.28,24.76,24.76,3.63
Comodoro Rivadavia,AR,1603749897,34,40,-45.87,-67.5,20.0,20.0,7.2
Pervomayskiy,RU,1603749897,86,100,53.25,40.29,7.15,7.15,3.53
Riyadh,SA,1603749897,37,0,24.69,46.72,19.0,19.0,1.63
Linfen,CN,1603749898,31,100,36.09,111.52,16.35,16.35,1.49
Itaberá,BR,1603749898,60,100,-23.86,-49.14,23.04,23.04,0.65
Tual,ID,1603749898,74,100,-5.67,132.75,27.82,27.82,3.43
Khovd,MN,1603749898,80,0,48.01,91.64,-2.36,-2.36,0.43
Mount Gambier,AU,1603749898,87,95,-37.83,140.77,9.0,9.0,4.1
Tsabong,BW,1603749899,37,94,-26.02,22.4,26.07,26.07,4.85
Eyl,SO,1603749899,77,93,7.98,49.82,25.67,25.67,3.2
Kiama,AU,1603749899,94,99,-34.68,150.87,13.02,13.33,0.89
Almaznyy,RU,1603749899,61,0,48.04,40.05,10.0,10.0,9.0
Hasaki,JP,1603749769,93,75,35.73,140.83,10.27,11.0,3.6
Marawi,PH,1603749900,89,100,8.0,124.29,23.33,23.33,2.24
Nevel'sk,RU,1603749900,92,87,46.67,141.86,-1.0,-1.0,1.0
Plettenberg Bay,ZA,1603749900,84,14,-34.05,23.37,17.38,17.38,2.55
Zhezkazgan,KZ,1603749900,70,7,47.8,67.71,3.61,3.61,5.36
Camargo,MX,1603749901,15,0,27.67,-105.17,30.78,30.78,8.83
Balkanabat,TM,1603749901,33,100,39.51,54.37,15.75,15.75,0.76
Northam,GB,1603749901,86,22,51.03,-4.22,10.0,10.0,3.58
Saint-Augustin,CA,1603749901,74,96,51.23,-58.65,1.25,1.25,4.21
Ocala,US,1603749745,70,75,29.19,-82.14,28.72,29.44,5.1
Ambunti,PG,1603749902,92,27,-4.24,142.84,24.27,24.27,0.32
Cairns,AU,1603749646,61,96,-16.92,145.77,25.77,26.0,1.5
Palmer,US,1603749902,93,90,42.16,-72.33,9.87,10.56,2.6
Bras-Panon,RE,1603749903,83,73,-21.0,55.68,20.14,22.0,1.5
Predivinsk,RU,1603749903,94,100,57.07,93.44,2.32,2.32,1.81
Igarka,RU,1603749903,89,0,67.47,86.58,-19.57,-19.57,2.84
Mikhaylovsk,RU,1603749904,81,0,45.13,42.03,8.95,9.0,5.0
Flin Flon,CA,1603749904,53,5,54.77,-101.86,-3.0,-3.0,4.6
Bontang,ID,1603749904,88,85,0.13,117.5,24.38,24.38,3.55
Kattivākkam,IN,1603749904,94,40,13.22,80.32,26.0,26.0,3.24
Kiunga,PG,1603749904,93,99,-6.12,141.29,24.7,24.7,0.34
Uglegorsk,RU,1603749905,79,39,49.08,142.03,5.72,5.72,3.8
Rosarito,MX,1603749905,10,5,32.33,-117.03,22.0,22.0,5.7
San-Pédro,CI,1603749905,90,83,4.75,-6.64,25.09,25.09,3.02
Mitsamiouli,KM,1603749906,76,6,-11.38,43.28,25.47,25.47,3.69
Kutum,SD,1603749906,22,36,14.2,24.67,22.13,22.13,4.48
Leamington,CA,1603749906,70,90,42.05,-82.61,8.01,8.33,2.6
Sorong,ID,1603749907,82,100,-0.88,131.25,25.23,25.23,3.01
Nemuro,JP,1603749907,77,35,43.32,145.57,9.79,9.79,3.9
Nzérékoré,GN,1603749907,74,100,7.76,-8.82,22.71,22.71,0.98
Beringovskiy,RU,1603749907,89,0,63.05,179.32,0.2,0.2,1.2
Dilla,ET,1603749907,78,32,6.41,38.31,15.91,15.91,1.97
Mar del Plata,AR,1603749908,58,0,-38.0,-57.56,14.02,15.0,4.1
Copiapó,CL,1603749722,67,75,-27.37,-70.33,16.0,16.0,5.1
Hualmay,PE,1603749908,74,98,-11.1,-77.61,19.64,19.64,3.99
Luena,AO,1603749908,84,100,-11.78,19.92,19.02,19.02,2.25
Key West,US,1603749751,88,90,24.56,-81.78,27.52,28.0,5.7
Tuatapere,NZ,1603749908,75,91,-46.13,167.68,11.11,11.11,1.34
Wamba,NG,1603749909,60,25,8.93,8.6,23.75,23.75,1.12
Troy,US,1603749837,65,75,42.61,-83.15,7.12,8.0,3.1
Belmonte,BR,1603749909,83,75,-15.86,-38.88,26.0,26.0,4.1
Aswān,EG,1603749909,31,0,24.09,32.91,25.85,25.85,5.82
Zyryanka,RU,1603749910,92,0,65.75,150.85,-15.82,-15.82,0.5
Kavaratti,IN,1603749910,72,81,10.57,72.64,27.83,27.83,2.99
Dogondoutchi,NE,1603749910,15,13,13.64,4.03,29.96,29.96,2.08
Lavrentiya,RU,1603749910,91,10,65.58,-171.0,-0.33,-0.33,2.55
Zigong,CN,1603749910,71,100,29.34,104.78,16.91,16.91,1.77
Tura,IN,1603749911,91,0,25.52,90.22,20.49,20.49,1.32
Tarauacá,BR,1603749911,53,100,-8.16,-70.77,31.78,31.78,1.89
Cayenne,GF,1603749911,78,40,4.93,-52.33,28.0,28.0,1.5
Kakonko,TZ,1603749911,88,100,-3.28,30.96,18.83,18.83,1.11
Changji,CN,1603749615,59,0,44.02,87.32,3.0,3.0,4.0
Tikhvin,RU,1603749912,90,100,59.65,33.53,7.96,7.96,3.82
Bathsheba,BB,1603749912,88,75,13.22,-59.52,26.0,26.0,9.8
Berlevåg,NO,1603749912,86,0,70.86,29.09,1.0,1.0,5.1
Beloha,MG,1603749912,91,0,-25.17,45.05,18.74,18.74,1.62
Guerrero Negro,MX,1603749912,37,2,27.98,-114.06,23.85,23.85,8.01
Wanning,CN,1603749913,86,92,18.8,110.4,22.2,22.2,4.67
Mahibadhoo,MV,1603749722,74,32,3.78,72.97,27.89,27.89,3.1
Goderich,CA,1603749849,84,100,43.75,-81.72,7.07,7.78,5.57
Coquimbo,CL,1603749709,77,0,-29.95,-71.34,15.0,15.0,6.2
College,US,1603749913,86,90,64.86,-147.8,-1.65,-1.0,4.1
Mandiana,GN,1603749913,49,12,10.63,-8.68,24.58,24.58,1.15
Tigil',RU,1603749914,78,96,57.8,158.67,3.17,3.17,1.43
Jalu,LY,1603749914,54,2,29.03,21.55,20.4,20.4,2.1
Davidson,US,1603749914,77,90,36.15,-86.78,14.23,15.0,2.6
Pelym,RU,1603749914,95,98,61.01,62.0,-3.71,-3.71,5.79
Nicoya,CR,1603749915,100,75,10.15,-85.45,24.0,24.0,1.0
Balakovo,RU,1603749915,84,0,52.03,47.8,1.81,1.81,2.45
Pangody,RU,1603749915,94,2,65.85,74.49,-15.7,-15.7,4.19
Anadyr,RU,1603749666,92,75,64.75,177.48,-8.0,-8.0,2.0
Verkhoyansk,RU,1603749916,90,100,67.54,133.38,-13.84,-13.84,0.85
Thinadhoo,MV,1603749916,69,39,0.53,72.93,28.04,28.04,3.4
Charlottesville,US,1603749752,72,1,38.03,-78.48,16.55,19.0,2.1
Turukhansk,RU,1603749916,89,0,65.82,87.98,-18.37,-18.37,2.99
Salinópolis,BR,1603749917,77,48,-0.61,-47.36,27.48,27.48,5.19
Provideniya,RU,1603749917,92,90,64.38,-173.3,0.0,0.0,0.95
San Patricio,US,1603749917,62,40,28.02,-97.52,29.06,30.0,9.3
Erenhot,CN,1603749917,77,0,43.65,111.98,-1.02,-1.02,3.37
